article_name,price,odo,year,location,date,link
Nissan Sentra 1.8 B17 Fl Exclusive,103.000.000,2.000 Km,2021,Cali - Valle Del Cauca,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-880484478-nissan-sentra-2021-18-b17-fl-exclusive-_JM#position=3&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra Sr,102.000.000,13.950 Km,2022,Barranquilla - Atlántico,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-888765002-nissan-sentra-sr-_JM#position=4&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,99.000.000,1.800 Km,2021,Cali - Valle Del Cauca,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-875727874-nissan-sentra-2021-18-b17-fl-exclusive-_JM#position=5&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra Advance 2.0 Aut,98.500.000,3.688 Km,2022,Barrios Unidos - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-858529519-nissan-new-sentra-advance-20-aut-2022-jxu014-_JM#position=6&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra At 2000cc,93.800.000,15.500 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-887723531-nissan-sentra-at-2000cc-_JM#position=7&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,91.990.000,27.500 Km,2021,Medellín - Antioquia,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-886202840-nissan-sentra-_JM#position=8&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra Sr Bicolor 2.000cc,90.500.000,14.550 Km,2021,Cali - Valle Del Cauca,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-886083672-nissan-sentra-sr-bicolor-2000cc-_JM#position=9&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra Sr 2000cc At Aa,90.000.000,10.500 Km,2021,Martires - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-890941941-nissan-sentra-sr-2000cc-at-aa-_JM#position=10&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,85.000.000,7.000 Km,2021,Medellín - Antioquia,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-880782900-nissan-sentra-2021-exclusive-b18-20-_JM#position=11&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,81.990.000,12.370 Km,2020,Barranquilla - Atlántico,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-891798279-nissan-sentra-18-_JM#position=12&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
